source,target,Type,Id,weight,SourceName,TargetName,AllProb,ProbGPNo,ProbGPYes
0,0,Directed,0,308,999,999,0.11742279832253145,0.12450980392156863,0.09262435677530018
0,1,Directed,1,1238,999,ED,0.471978650400305,0.46372549019607845,0.5008576329331046
0,3,Directed,2,143,999,GP,0.05451772779260389,0.05196078431372549,0.0634648370497427
0,4,Directed,3,488,999,IP,0.18604651162790697,0.1803921568627451,0.2058319039451115
0,5,Directed,4,53,999,IUC,0.020205871139916128,0.02303921568627451,0.010291595197255575
0,2,Directed,5,393,999,End,0.14982844071673657,0.15637254901960784,0.1269296740994854
1,0,Directed,6,82,ED,999,0.008826695371367061,0.008734249713631157,0.009106678230702514
1,1,Directed,7,265,ED,ED,0.02852529601722282,0.029639175257731958,0.02515177797051171
1,3,Directed,8,789,ED,GP,0.08493003229278795,0.08719931271477663,0.07805724197745013
1,4,Directed,9,2694,ED,IP,0.28998923573735197,0.28307560137457044,0.31092801387684305
1,5,Directed,10,182,ED,IUC,0.019590958019375673,0.02004581901489118,0.01821335646140503
1,2,Directed,11,5278,ED,End,0.5681377825618945,0.5713058419243986,0.5585429314830876
3,0,Directed,12,681,GP,999,0.017605997931747674,0.019469321911331144,0.015988021059749793
3,1,Directed,13,3361,GP,ED,0.08689245087900724,0.08494187016743616,0.08858619523740521
3,3,Directed,14,9013,GP,GP,0.23301447776628748,0.24542470935083718,0.22223832294836496
3,4,Directed,15,902,GP,IP,0.023319544984488107,0.024642598876341994,0.022170699898565426
3,5,Directed,16,1398,GP,IUC,0.036142709410548084,0.03754797797185292,0.034922475003622666
3,2,Directed,17,23325,GP,End,0.6030248190279214,0.5879735217222006,0.616094285852292
6,0,Directed,18,739,Index_IUC,999,0.013172435920288047,0.013172435920288047,0.013172435920288047
6,1,Directed,19,3803,Index_IUC,ED,0.0677872446615094,0.0677872446615094,0.0677872446615094
6,3,Directed,20,26690,Index_IUC,GP,0.4757406153078322,0.4757406153078322,0.4757406153078322
6,4,Directed,21,519,Index_IUC,IP,0.00925100709422124,0.00925100709422124,0.00925100709422124
6,5,Directed,22,2602,Index_IUC,IUC,0.04637980820648105,0.04637980820648105,0.04637980820648105
6,2,Directed,23,21749,Index_IUC,End,0.3876688888096681,0.3876688888096681,0.3876688888096681
4,0,Directed,24,19,IP,999,0.004350812915044653,0.0044742729306487695,0.004038772213247173
4,1,Directed,25,58,IP,ED,0.013281428898557362,0.014381591562799617,0.01050080775444265
4,3,Directed,26,152,IP,GP,0.03480650332035722,0.03483541067433685,0.034733441033925685
4,4,Directed,27,246,IP,IP,0.056331577742157087,0.057845957174816234,0.05250403877221325
4,5,Directed,28,21,IP,IUC,0.004808793221891459,0.004154682007031001,0.006462035541195477
4,2,Directed,29,3871,IP,End,0.8864208839019923,0.8843080856503676,0.8917609046849758
5,0,Directed,30,303,IUC,999,0.0643312101910828,0.06540358162470802,0.059509918319719954
5,1,Directed,31,866,IUC,ED,0.18386411889596602,0.18219569166882948,0.19136522753792298
5,3,Directed,32,1548,IUC,GP,0.3286624203821656,0.32130807163249414,0.3617269544924154
5,4,Directed,33,52,IUC,IP,0.011040339702760084,0.010900596937451337,0.011668611435239206
5,5,Directed,34,459,IUC,IUC,0.09745222929936306,0.09992213859330391,0.08634772462077013
5,2,Directed,35,1482,IUC,End,0.3146496815286624,0.3202699195432131,0.2893815635939323
