,source,target,Type,Id,weight,SourceName,TargetName,AllProb,ProbGPNo,ProbGPYes
0,0,0,Directed,0,826,999,999,0.24053581828771112,0.24642024642024643,0.19953596287703015
1,1,0,Directed,1,130,ED,999,0.010591494215414698,0.011473372215316953,0.005509641873278237
2,3,0,Directed,2,517,GP,999,0.017976981118954065,0.0199106669694905,0.016334405144694534
3,4,0,Directed,3,112,IP,999,0.021435406698564592,0.024349881796690308,0.009045226130653266
4,5,0,Directed,4,634,IUC,999,0.11450243814339896,0.1139728249847901,0.1188118811881188
5,6,0,Directed,5,1215,Index_IUC,999,0.017131738131160024,0.017131738131160024,0.017131738131160024
6,0,1,Directed,6,1779,999,ED,0.5180547466511357,0.5044955044955045,0.6125290023201856
7,1,1,Directed,7,327,ED,ED,0.026641681603389276,0.026962424705994838,0.024793388429752067
8,3,1,Directed,8,2413,GP,ED,0.08390416912966375,0.07623589976531153,0.09041800643086817
9,4,1,Directed,9,253,IP,ED,0.04842105263157895,0.05768321513002364,0.009045226130653266
10,5,1,Directed,10,987,IUC,ED,0.17825537294563842,0.18170756438856217,0.15016501650165018
11,6,1,Directed,11,6515,Index_IUC,ED,0.09186277689259881,0.09186277689259881,0.09186277689259881
12,0,2,Directed,12,439,999,End,0.12783925451368666,0.1341991341991342,0.08352668213457076
13,1,2,Directed,13,7656,ED,End,0.6237575362554995,0.6357204321636868,0.5548209366391185
14,3,2,Directed,14,17558,GP,End,0.6105219235717515,0.600272541449012,0.6192282958199357
15,4,2,Directed,15,4347,IP,End,0.8319617224880382,0.824822695035461,0.8623115577889447
16,5,2,Directed,16,2111,IUC,End,0.38125338631027633,0.3922125329547759,0.29207920792079206
17,6,2,Directed,17,38810,Index_IUC,End,0.54722860647763,0.54722860647763,0.54722860647763
18,0,3,Directed,18,108,999,GP,0.0314502038439138,0.027972027972027972,0.05568445475638051
19,1,3,Directed,19,692,ED,GP,0.056379338438976696,0.05268190075533034,0.07768595041322314
20,3,3,Directed,20,6661,GP,GP,0.23161445112834242,0.24657430539783481,0.21890675241157556
21,4,3,Directed,21,213,IP,GP,0.04076555023923445,0.03546099290780142,0.06331658291457286
22,5,3,Directed,22,1171,IUC,GP,0.21148636445728733,0.1946866761306023,0.3481848184818482
23,6,3,Directed,23,19914,Index_IUC,GP,0.2807913029991117,0.2807913029991117,0.2807913029991117
24,0,4,Directed,24,141,999,IP,0.04105998835177636,0.04229104229104229,0.03248259860788863
25,1,4,Directed,25,3195,ED,IP,0.26030633860192276,0.2500239028587819,0.31955922865013775
26,3,4,Directed,26,636,GP,IP,0.02211481623144059,0.02172760996290408,0.022443729903536977
27,4,4,Directed,27,239,IP,IP,0.045741626794258375,0.04468085106382979,0.05025125628140704
28,5,4,Directed,28,63,IUC,IP,0.011378002528445006,0.012370715879132022,0.0033003300330033004
29,6,4,Directed,29,951,Index_IUC,IP,0.013409286389080809,0.013409286389080809,0.013409286389080809
30,0,5,Directed,30,141,999,IUC,0.04105998835177636,0.044622044622044624,0.016241299303944315
31,1,5,Directed,31,274,ED,IUC,0.022323610884797132,0.023137967300889187,0.017630853994490357
32,3,5,Directed,32,974,GP,IUC,0.0338676588198477,0.035278976455447045,0.03266881028938907
33,4,5,Directed,33,61,IP,IUC,0.011674641148325358,0.013002364066193853,0.006030150753768844
34,5,5,Directed,34,571,IUC,IUC,0.10312443561495395,0.1050496856621375,0.08745874587458746
35,6,5,Directed,35,3516,Index_IUC,IUC,0.049576289110418635,0.049576289110418635,0.049576289110418635
