Source,Target,Type,Id,Weight
0,0,Directed,0,94
1,0,Directed,1,54
3,0,Directed,2,611
4,0,Directed,3,19
5,0,Directed,4,873
6,0,Directed,5,1318
0,1,Directed,6,1290
1,1,Directed,7,167
3,1,Directed,8,2529
4,1,Directed,9,31
5,1,Directed,10,1210
6,1,Directed,11,3493
0,2,Directed,12,1123
1,2,Directed,13,4072
3,2,Directed,14,20388
4,2,Directed,15,2715
5,2,Directed,16,4164
6,2,Directed,17,38774
0,3,Directed,18,158
1,3,Directed,19,2129
3,3,Directed,20,14608
4,3,Directed,21,972
5,3,Directed,22,2415
6,3,Directed,23,21019
0,4,Directed,24,48
1,4,Directed,25,2030
3,4,Directed,26,1247
4,4,Directed,27,179
5,4,Directed,28,57
6,4,Directed,29,393
0,5,Directed,30,256
1,5,Directed,31,268
3,5,Directed,32,1918
4,5,Directed,33,38
5,5,Directed,34,1495
6,5,Directed,35,6239
